Job,Customer,Est_Required_Qty,AMT Workcenter & Vendor,Vendor,Lead_Days,Order_Date,Promised_Date,Est Total Hours,Link_Material,Status,Material
58607,MAREL POUL,275,A-1 LAPPIN,A-1 LAPPIN,20,3/12/2025 0:00,8/20/2025 0:00,0,,Active,9746208
58607,MAREL POUL,275,A-1 LAPPIN,A-1 LAPPIN,20,3/12/2025 0:00,8/20/2025 0:00,0,,Active,SS 303 RND 1.0 X 12 FT
59271,MAREL POUL,0,A-1 LAPPIN,A-1 LAPPIN,21,5/6/2025 0:00,6/12/2025 0:00,0,,Closed,9826221
59342,MAREL POUL,0,A-1 LAPPIN,A-1 LAPPIN,21,5/12/2025 0:00,7/3/2025 0:00,0,,Closed,9799620
59545,MAREL POUL,0,A-1 LAPPIN,A-1 LAPPIN,16,6/4/2025 0:00,7/2/2025 0:00,0,,Closed,9837700
59545,MAREL POUL,0,A-1 LAPPIN,A-1 LAPPIN,16,6/4/2025 0:00,7/2/2025 0:00,0,,Closed,SS 304 SHT .089 X 24 X 48
59702,MAREL POUL,114,A-1 LAPPIN,A-1 LAPPIN,14,6/12/2025 0:00,7/11/2025 0:00,0,,Closed,SS 303 RND 1.5  12FT
59702R,MAREL POUL,114,A-1 LAPPIN,A-1 LAPPIN,14,7/17/2025 0:00,7/31/2025 0:00,0,,Closed,SS 303 RND 1.5  12FT
59707,MAREL POUL,400,A-1 LAPPIN,A-1 LAPPIN,20,6/12/2025 0:00,8/8/2025 0:00,0,,Active,SS 303 RND 1.312 12FT
59779,MAREL POUL,0,A-1 LAPPIN,A-1 LAPPIN,21,6/23/2025 0:00,8/8/2025 0:00,0,,Active,9746207
59882,MAREL POUL,0,A-1 LAPPIN,A-1 LAPPIN,20,7/7/2025 0:00,8/4/2025 0:00,0,,Active,9800344
59891,MAREL POUL,400,A-1 LAPPIN,A-1 LAPPIN,20,7/7/2025 0:00,8/11/2025 0:00,0,,Active,SS 303 RND 1.0 X 12 FT
59893,MAREL POUL,0,A-1 LAPPIN,A-1 LAPPIN,21,7/7/2025 0:00,8/11/2025 0:00,0,,Active,9837674
60087,MAREL POUL,5,ADV HEAT T,ADV HEAT T,10,7/23/2025 0:00,9/2/2025 0:00,0,,Active,SS 304 BRG STK 1.3779 X 144
58351,MAREL POUL,5,ADV PLATIN,ADV PLATIN,3,2/19/2025 0:00,6/24/2025 0:00,0,,Closed,SS 316 HEX .750 X 144
58352,MAREL POUL,5,ADV PLATIN,ADV PLATIN,3,2/19/2025 0:00,6/24/2025 0:00,0,,Closed,SS 316 HEX .750 X 144
58464,MAREL POUL,15,ADV PLATIN,ADV PLATIN,4,3/3/2025 0:00,6/13/2025 0:00,0,,Closed,SS 17-4 REC .625 X 1.5 X 144
58500,MAREL POUL,250,ADV PLATIN,ADV PLATIN,4,3/6/2025 0:00,6/2/2025 0:00,0,,Closed,SS 17-4 REC .625 X 1.5 X 144
58550,MAREL POUL,15,ADV PLATIN,ADV PLATIN,4,3/10/2025 0:00,5/1/2025 0:00,0,,Closed,SS 17-4 REC .625 X 1.5 X 144
58853,MAREL POUL,19,ADV PLATIN,ADV PLATIN,3,4/1/2025 0:00,6/18/2025 0:00,0,,Closed,9847171
59064,MAREL POUL,200,ADV PLATIN,ADV PLATIN,4,4/21/2025 0:00,5/19/2025 0:00,0,,Closed,SS 17-4 REC .625 X 1.5 X 144
59104,MAREL POUL,250,ADV PLATIN,ADV PLATIN,4,4/23/2025 0:00,5/23/2025 0:00,0,,Closed,SS 17-4 REC .625 X 1.5 X 144
59360,MAREL POUL,2,ADV PLATIN,ADV PLATIN,3,5/13/2025 0:00,6/25/2025 0:00,0,,Closed,SS 304 SHEET 14 GA 48 X 96
59429,BW CONVERT,2,ADV PLATIN,ADV PLATIN,3,5/19/2025 0:00,7/16/2025 0:00,0,,Closed,8910K772
59430,BW CONVERT,2,ADV PLATIN,ADV PLATIN,3,5/19/2025 0:00,7/16/2025 0:00,0,,Closed,8910K82
59434,BW CONVERT,4,ADV PLATIN,ADV PLATIN,3,5/19/2025 0:00,7/16/2025 0:00,0,,Closed,8910K765
59435,BW CONVERT,2,ADV PLATIN,ADV PLATIN,3,5/19/2025 0:00,7/16/2025 0:00,0,,Closed,8910K772
59583,MAREL POUL,200,ADV PLATIN,ADV PLATIN,4,6/5/2025 0:00,7/7/2025 0:00,0,,Closed,SS 17-4 REC .625 X 1.5 X 144
59584,MAREL POUL,550,ADV PLATIN,ADV PLATIN,4,6/5/2025 0:00,7/21/2025 0:00,0,,Closed,SS 17-4 REC .625 X 1.5 X 144
59638,MAREL POUL,1,ADV PLATIN,ADV PLATIN,7,6/9/2025 0:00,7/7/2025 0:00,0,,Closed,SS 304L PLATE .25  48 X 96
59765,MAREL POUL,250,ADV PLATIN,ADV PLATIN,4,6/19/2025 0:00,7/24/2025 0:00,0,,Closed,SS 17-4 REC .625 X 1.5 X 144
59787,MAREL POUL,1,ADV PLATIN,ADV PLATIN,7,6/23/2025 0:00,7/18/2025 0:00,0,,Closed,SS 304L PLATE .25  48 X 96
59832,MAREL POUL,250,ADV PLATIN,ADV PLATIN,4,6/27/2025 0:00,7/29/2025 0:00,0,,Closed,SS 17-4 REC .625 X 1.5 X 144
59833,MAREL POUL,200,ADV PLATIN,ADV PLATIN,4,6/27/2025 0:00,7/29/2025 0:00,0,,Closed,SS 17-4 REC .625 X 1.5 X 144
59880,MAREL POUL,14,ADV PLATIN,ADV PLATIN,3,7/7/2025 0:00,8/6/2025 0:00,0,,Active,SS 304L PLATE 16 GA  48 X 96
59894,MAREL POUL,250,ADV PLATIN,ADV PLATIN,4,7/7/2025 0:00,8/11/2025 0:00,0,,Active,SS 17-4 REC .625 X 1.5 X 144
59895,MAREL POUL,250,ADV PLATIN,ADV PLATIN,4,7/7/2025 0:00,8/11/2025 0:00,0,,Active,SS 17-4 REC .625 X 1.5 X 144
59974,MAREL POUL,550,ADV PLATIN,ADV PLATIN,4,7/14/2025 0:00,8/11/2025 0:00,0,,Active,SS 17-4 REC .625 X 1.5 X 144
60088,MAREL POUL,20,ADV PLATIN,ADV PLATIN,7,7/23/2025 0:00,8/19/2025 0:00,0,,Active,SS 304 BRG STK RND 20MM X 144
58600,MAREL POUL,10,ASSEMBLE-001,,0,3/12/2025 0:00,6/13/2025 0:00,0.17,TRUE,Closed,9715686
58600,MAREL POUL,10,ASSEMBLE-001,,0,3/12/2025 0:00,6/13/2025 0:00,0.17,TRUE,Closed,SS 303 RND 1.25 X 12 FT
