"id","job_number","part_number","description","quantity","due_date","created_date","priority","status","routing","estimated_hours","customer","order_date","promised_date","outsourced_vendor","lead_days","link_material","material","routing_modified"
"0452c1dd-96c2-4e11-b2c1-fd284da1a8da","60082","PART-60082-27","Support","2","""2025-08-27T05:00:00.000Z""","""2025-07-23T05:00:00.000Z""","Normal","Unscheduled","[{""name"":""WJ-001"",""sequence"":0,""machineType"":""WJ-001"",""estimatedHours"":0.35,""compatibleMachines"":[""WJ-001""]},{""name"":""ASSEMBLE-001"",""sequence"":1,""machineType"":""ASSEMBLE-001"",""estimatedHours"":0.32,""compatibleMachines"":[""ASSEMBLE-001""]},{""name"":""TAP-001"",""sequence"":2,""machineType"":""TAP-001"",""estimatedHours"":0.07,""compatibleMachines"":[""TAP-001""]},{""name"":""INSPECT-001"",""sequence"":3,""machineType"":""INSPECT-001"",""estimatedHours"":0,""compatibleMachines"":[""INSPECT-001""]}]","0.74","MAREL POUL","""2025-07-23T05:00:00.000Z""","""2025-08-27T05:00:00.000Z""",,,"true","SS 304L PLATE .312 48 X 96","false"
"04ba52fd-619d-4fc2-a6dd-3e358b08a557","60171","PART-60171-99","THRUST COLLAR #16 BUTTON DELRI","57","""2025-09-03T05:00:00.000Z""","""2025-08-04T05:00:00.000Z""","Normal","Scheduled","[{""name"":""SAW-001"",""sequence"":0,""machineType"":""SAW-001"",""estimatedHours"":0.4,""compatibleMachines"":[""SAW-001""]},{""name"":""LATHE-003"",""sequence"":1,""machineType"":""LATHE-003"",""estimatedHours"":2.88,""compatibleMachines"":[""LATHE-003""]}]","3.28","MAREL POUL","""2025-08-04T05:00:00.000Z""","""2025-09-03T05:00:00.000Z""",,,"true","DELRIN RND 1.375 X 1FT","false"
"05bbd4b7-3e69-4de0-aa2e-5c8e07d0b663","60038","PART-60038-9","Cam Plate","200","""2025-08-25T05:00:00.000Z""","""2025-07-21T05:00:00.000Z""","Normal","Scheduled","[{""name"":""SAW-001"",""sequence"":0,""machineType"":""SAW-001"",""estimatedHours"":3.43,""compatibleMachines"":[""SAW-001""]},{""name"":""VMC-001"",""sequence"":1,""machineType"":""VMC-001"",""estimatedHours"":23.17,""compatibleMachines"":[""VMC-001""]},{""name"":""INSPECT-001"",""sequence"":2,""machineType"":""INSPECT-001"",""estimatedHours"":0,""compatibleMachines"":[""INSPECT-001""]}]","26.60","MAREL POUL","""2025-07-21T05:00:00.000Z""","""2025-08-25T05:00:00.000Z""",,,"true","SS 17-4 REC .625 X 1.5 X 144","false"
"07f1837c-9c9a-4346-8dd0-8a7eadb22eef","60200","PART-60200-123","Roller-Tooth SK 15-20in Raw","50","""2025-09-10T05:00:00.000Z""","""2025-08-05T05:00:00.000Z""","Normal","Scheduled","[{""name"":""LATHE-005"",""sequence"":0,""machineType"":""LATHE-005"",""estimatedHours"":9.42,""compatibleMachines"":[""LATHE-005""]},{""name"":""LATHE-005"",""sequence"":1,""machineType"":""LATHE-005"",""estimatedHours"":8.58,""compatibleMachines"":[""LATHE-005""]},{""name"":""LATHE-005"",""sequence"":2,""machineType"":""LATHE-005"",""estimatedHours"":6.08,""compatibleMachines"":[""LATHE-005""]},{""name"":""LATHE-005"",""sequence"":3,""machineType"":""LATHE-005"",""estimatedHours"":9.67,""compatibleMachines"":[""LATHE-005""]}]","33.75","MAREL POUL","""2025-08-05T05:00:00.000Z""","""2025-09-10T05:00:00.000Z""",,,"true","SS 303 RND 3.125 X 30.83","false"
"089795d7-d0aa-4976-a3c9-f82a39c929f2","60170","PART-60170-98","Blade-Stripper","1","""2025-09-15T05:00:00.000Z""","""2025-08-04T05:00:00.000Z""","Normal","Scheduled","[{""name"":""OUTSOURCE"",""notes"":""Outsourced to: FITZGERALD"",""sequence"":0,""machineType"":""OUTSOURCE"",""operationType"":""OUTSOURCE"",""estimatedHours"":0,""compatibleMachines"":[""OUTSOURCE-01""]},{""name"":""OUTSOURCE"",""notes"":""Outsourced to: A-1 LAPPIN"",""sequence"":1,""machineType"":""OUTSOURCE"",""operationType"":""OUTSOURCE"",""estimatedHours"":0,""compatibleMachines"":[""OUTSOURCE-01""]}]","0.00","MAREL POUL","""2025-08-04T05:00:00.000Z""","""2025-09-15T05:00:00.000Z""","FITZGERALD","16","false","9837674","false"
"0b339dc1-528e-45f9-8e2a-b839b2ee2631","60035","PART-60035-6","Spacer - Seat Swivel","4","""2025-09-15T05:00:00.000Z""","""2025-07-21T05:00:00.000Z""","Normal","Unscheduled","[{""name"":""WJ-001"",""sequence"":0,""machineType"":""WJ-001"",""estimatedHours"":0.4,""compatibleMachines"":[""WJ-001""]}]","0.40","VERMEER","""2025-07-21T05:00:00.000Z""","""2025-09-15T05:00:00.000Z""",,,"true","UHMW SHT .25 X 48 X 96","false"
"0c9d5e83-b3ba-46a5-bb39-3c0decf3c162","60032","PART-60032-3","Bar front rack guide","4","""2025-09-12T05:00:00.000Z""","""2025-07-21T05:00:00.000Z""","Normal","Scheduled","[{""name"":""SAW-001"",""sequence"":0,""machineType"":""SAW-001"",""estimatedHours"":0.33,""compatibleMachines"":[""SAW-001""]},{""name"":""VMC-002"",""sequence"":1,""machineType"":""VMC-002"",""estimatedHours"":1.27,""compatibleMachines"":[""VMC-002""]},{""name"":""INSPECT-001"",""sequence"":2,""machineType"":""INSPECT-001"",""estimatedHours"":0,""compatibleMachines"":[""INSPECT-001""]}]","1.60","VERMEER","""2025-07-21T05:00:00.000Z""","""2025-09-12T05:00:00.000Z""",,,"true","1018 REC BAR 1.25""X2""X144""","false"
"0d8d9b6d-e0d3-4958-ad63-b2c586dccea9","S60216","PART-S60216-168","WB Brush Axel Center Block","180","""2025-10-01T05:00:00.000Z""","""2025-08-06T05:00:00.000Z""","Normal","Scheduled","[{""name"":""SAW-001"",""sequence"":0,""machineType"":""SAW-001"",""estimatedHours"":1.6,""compatibleMachines"":[""SAW-001""]},{""name"":""VMC-001"",""sequence"":1,""machineType"":""VMC-001"",""estimatedHours"":12.5,""compatibleMachines"":[""VMC-001""]}]","14.10","STOCK","""2025-08-06T05:00:00.000Z""","""2025-10-01T05:00:00.000Z""",,,"true","AL 6061 1 1/4"" SQ. X 144""","false"
"107526c4-72a9-479d-9b06-1a18f792cdd5","60067","PART-60067-19","Ballast Cylinder Mount","4","""2025-09-02T05:00:00.000Z""","""2025-07-23T05:00:00.000Z""","Normal","Scheduled","[{""name"":""SAW-001"",""sequence"":0,""machineType"":""SAW-001"",""estimatedHours"":0.38,""compatibleMachines"":[""SAW-001""]},{""name"":""VMC-001"",""sequence"":1,""machineType"":""VMC-001"",""estimatedHours"":1.28,""compatibleMachines"":[""VMC-001""]},{""name"":""INSPECT-001"",""sequence"":2,""machineType"":""INSPECT-001"",""estimatedHours"":0,""compatibleMachines"":[""INSPECT-001""]}]","1.66","ACCU MOLD","""2025-07-23T05:00:00.000Z""","""2025-09-02T05:00:00.000Z""",,,"true","9019K71","false"
"1279f430-4872-44e4-917c-bd954fd48b4a","60228","PART-60228-135","Bearing-Sleeve-Flange","20","""2025-09-03T05:00:00.000Z""","""2025-08-06T05:00:00.000Z""","Normal","Scheduled","[{""name"":""SAW-001"",""sequence"":0,""machineType"":""SAW-001"",""estimatedHours"":0.35,""compatibleMachines"":[""SAW-001""]},{""name"":""LATHE-003"",""sequence"":1,""machineType"":""LATHE-003"",""estimatedHours"":1.92,""compatibleMachines"":[""LATHE-003""]}]","2.27","MAREL POUL","""2025-08-06T05:00:00.000Z""","""2025-09-03T05:00:00.000Z""",,,"true","DELRIN RND 1.375 X 1FT","false"
"14ce66a8-58d6-42d9-a3b5-98c089292394","60034","PART-60034-5","Bar-Hood Hinge Nut","24","""2025-09-15T05:00:00.000Z""","""2025-07-21T05:00:00.000Z""","Normal","Unscheduled","[{""name"":""WJ-001"",""sequence"":0,""machineType"":""WJ-001"",""estimatedHours"":1.85,""compatibleMachines"":[""WJ-001""]},{""name"":""TAP-001"",""sequence"":1,""machineType"":""TAP-001"",""estimatedHours"":1.6,""compatibleMachines"":[""TAP-001""]}]","3.45","VERMEER","""2025-07-21T05:00:00.000Z""","""2025-09-15T05:00:00.000Z""",,,"true","A572 G50 SHT .25 X 48 X 96""","false"
"14d38785-ec48-4daf-bc4d-5da435fb5f93","60079","PART-60079-25","Electric Drive RS-1000 Torque","30","""2025-08-20T05:00:00.000Z""","""2025-07-23T05:00:00.000Z""","Normal","Unscheduled","[{""name"":""WJ-001"",""sequence"":0,""machineType"":""WJ-001"",""estimatedHours"":3.1,""compatibleMachines"":[""WJ-001""]},{""name"":""VMC-002"",""sequence"":1,""machineType"":""VMC-002"",""estimatedHours"":1.5,""compatibleMachines"":[""VMC-002""]}]","4.60","NCS INC","""2025-07-23T05:00:00.000Z""","""2025-08-20T05:00:00.000Z""",,,"true","AL 6061 SHEET .75  48 X 96","false"
"157435ad-a331-49f4-817e-36a0c4258674","60096","PART-60096-38","1""-11.5 NPT SS 90 DEG Mach'd","20","""2025-09-02T05:00:00.000Z""","""2025-07-24T05:00:00.000Z""","Normal","Scheduled","[{""name"":""VMC-002"",""sequence"":0,""machineType"":""VMC-002"",""estimatedHours"":2.67,""compatibleMachines"":[""VMC-002""]}]","2.67","NCS INC","""2025-07-24T05:00:00.000Z""","""2025-09-02T05:00:00.000Z""",,,"true","WBB291322","false"
"158acbf6-973a-4297-b9bd-bf07ca72299a","60235","PART-60235-140","Bushing Sleeve","18","""2025-09-04T05:00:00.000Z""","""2025-08-06T05:00:00.000Z""","Normal","Scheduled","[{""name"":""SAW-001"",""sequence"":0,""machineType"":""SAW-001"",""estimatedHours"":0.15,""compatibleMachines"":[""SAW-001""]},{""name"":""LATHE-003"",""sequence"":1,""machineType"":""LATHE-003"",""estimatedHours"":1.2,""compatibleMachines"":[""LATHE-003""]}]","1.35","MAREL POUL","""2025-08-06T05:00:00.000Z""","""2025-09-04T05:00:00.000Z""",,,"true","SS 304 RND 1.5 12FT","false"
"17a381bf-d694-4c17-8e18-2a8cc63322a9","60099","PART-60099-39","Shaft","2","""2025-08-21T05:00:00.000Z""","""2025-07-24T05:00:00.000Z""","Normal","Scheduled","[{""name"":""SAW-001"",""sequence"":0,""machineType"":""SAW-001"",""estimatedHours"":0.16,""compatibleMachines"":[""SAW-001""]},{""name"":""LATHE-006"",""sequence"":1,""machineType"":""LATHE-006"",""estimatedHours"":2.06,""compatibleMachines"":[""LATHE-006""]},{""name"":""LATHE-005"",""sequence"":2,""machineType"":""LATHE-005"",""estimatedHours"":0.65,""compatibleMachines"":[""LATHE-005""]},{""name"":""VMC-001"",""sequence"":3,""machineType"":""VMC-001"",""estimatedHours"":1.27,""compatibleMachines"":[""VMC-001""]}]","4.14","MAREL POUL","""2025-07-24T05:00:00.000Z""","""2025-08-21T05:00:00.000Z""",,,"true","SS 303 RND 1.625 12FT","false"
"1c4788c8-01c0-4cdf-9a4f-8bf01b081ce8","60181","PART-60181-106","Plate Motor drain","1","""2025-09-05T05:00:00.000Z""","""2025-08-04T05:00:00.000Z""","Normal","Unscheduled","[{""name"":""WJ-001"",""sequence"":0,""machineType"":""WJ-001"",""estimatedHours"":0.37,""compatibleMachines"":[""WJ-001""]},{""name"":""TAP-001"",""sequence"":1,""machineType"":""TAP-001"",""estimatedHours"":0.08,""compatibleMachines"":[""TAP-001""]},{""name"":""BLAST-001"",""sequence"":2,""machineType"":""BLAST-001"",""estimatedHours"":0.08,""compatibleMachines"":[""BLAST-001""]},{""name"":""INSPECT-001"",""sequence"":3,""machineType"":""INSPECT-001"",""estimatedHours"":0,""compatibleMachines"":[""INSPECT-001""]}]","0.53","MAREL POUL","""2025-08-04T05:00:00.000Z""","""2025-09-05T05:00:00.000Z""",,,"true","SS 304L SHT .160 (8GA) 48X96","false"
"1cc58b3b-7dc7-4645-9fb7-37c1a2f376e6","60155","PART-60155-87","Gen 4 Mold Thermocouple Mount","2","""2025-08-29T05:00:00.000Z""","""2025-07-31T05:00:00.000Z""","Normal","Scheduled","[{""name"":""SAW-001"",""sequence"":0,""machineType"":""SAW-001"",""estimatedHours"":0.32,""compatibleMachines"":[""SAW-001""]},{""name"":""VMC-001"",""sequence"":1,""machineType"":""VMC-001"",""estimatedHours"":1.67,""compatibleMachines"":[""VMC-001""]},{""name"":""INSPECT-001"",""sequence"":2,""machineType"":""INSPECT-001"",""estimatedHours"":0,""compatibleMachines"":[""INSPECT-001""]}]","1.99","ACCU MOLD","""2025-07-31T05:00:00.000Z""","""2025-08-29T05:00:00.000Z""",,,"true","9008K46","false"
"1d1007e1-b38d-49a3-b194-92a27ee15fc0","60069","PART-60069-21","Transducer Arm","8","""2025-09-02T05:00:00.000Z""","""2025-07-23T05:00:00.000Z""","Normal","Unscheduled","[{""name"":""SAW-001"",""sequence"":0,""machineType"":""SAW-001"",""estimatedHours"":0.65,""compatibleMachines"":[""SAW-001""]},{""name"":""VMC-004"",""sequence"":1,""machineType"":""VMC-004"",""estimatedHours"":8,""compatibleMachines"":[""VMC-004""]},{""name"":""MANUAL-001"",""sequence"":2,""machineType"":""MANUAL-001"",""estimatedHours"":0.65,""compatibleMachines"":[""MANUAL-001""]}]","9.30","ACCU MOLD","""2025-07-23T05:00:00.000Z""","""2025-09-02T05:00:00.000Z""",,,"true","ALUM 6061 REC .75 X 1.5 X 144","false"
"1d954ed1-f276-4157-8ea5-9dfb2db44f84","60185","PART-60185-109","Job 60185 for MDM-MFG","1","""2025-08-15T05:00:00.000Z""","""2025-08-04T05:00:00.000Z""","Normal","Unscheduled","[{""name"":""WJ-001"",""sequence"":0,""machineType"":""WJ-001"",""estimatedHours"":1.33,""compatibleMachines"":[""WJ-001""]},{""name"":""REAM-001"",""sequence"":1,""machineType"":""REAM-001"",""estimatedHours"":1.75,""compatibleMachines"":[""REAM-001""]},{""name"":""ASSEMBLE-001"",""sequence"":2,""machineType"":""ASSEMBLE-001"",""estimatedHours"":1.17,""compatibleMachines"":[""ASSEMBLE-001""]},{""name"":""INSPECT-001"",""sequence"":3,""machineType"":""INSPECT-001"",""estimatedHours"":0,""compatibleMachines"":[""INSPECT-001""]}]","4.25","MDM-MFG","""2025-08-04T05:00:00.000Z""","""2025-08-15T05:00:00.000Z""",,,"true","ALUM 6061 SHT .25 X 48""X96""","false"
