"id","machine_id","name","type","tier","capabilities","status","utilization","available_shifts","efficiency_factor","substitution_group","category","subcategory","spindles","live_tooling","bar_feeder","fourth_axis","bar_length"
"1646ccd4-1143-4b2c-b1d8-52deb353ed68","SAW-001","AMADA HFA","SAW","Standard","[""cutting"",""material_prep"",""sawing"",""stock_cutting""]","Available","0.00","[1]","1.00","saw_group","Band Saws","Horizontal Band","","false","false","false",
"1d65c483-37ef-49b0-a921-3e032b2f91c0","VMC-002","FADAL 4020","MILL","Standard","[""vertical_milling"",""drilling"",""tapping"",""face_milling"",""contouring""]","Available","0.00","[1,2]","1.00","vmc_3axis_group","3-Axis Vertical Milling Centers","Standard VMC","","false","false","false",
"1ea79e91-1253-49d6-86b8-1e2da315c340","SHIPPING-001","SHIPPING STATION","ASSEMBLE","Standard","[""packaging""]","Available","0.00","[1]","1.00","","Manual Assembly","Bench Assembly","","false","false","false",
"2ce388d0-e99a-4a62-9335-9cc586583a6a","TAP-001","QuickBoy Tapping Arm","WELD","Budget","[""turning"",""bar_feeding"",""tapping""]","Available","0.00","[1,2]","0.80","vmc_3axis_group","Tapping","Power Tapping","Single","false","true","false",
"2fe0064d-19ec-42fc-8119-a3df7d8cc10d","BROACH-001","Broaching Station","WELD","Standard","[""broaching""]","Available","0.00","[1,2]","0.80","","Broaching","Vertical Broaching","","false","false","false",
"3037212f-3e39-4e56-891f-943c46b6febc","VMC-005","MORI-SEIKI MV-653","MILL","Budget","[""vertical_milling"",""drilling"",""tapping"",""4th_axis"",""contouring"",""horizontal_milling"",""face_milling""]","Available","0.00","[1,2]","1.20","vmc_4axis_group","3-Axis VMCs with pseudo 4th axis","Trunion VMC","","false","false","true",
"333a26a1-26dc-4fc5-ab65-a95b75d9a2b8","LATHE-005","MAZAK QTN 350IIMY","LATHE","Premium","[""turning"",""live_tooling"",""drilling"",""facing"",""boring"",""threading"",""milling"",""grooving""]","Available","0.00","[1]","1.20","live_tooling_group","Live Tooling Lathes","Multi-Axis","Single","true","false","false",
"33b929d9-4f47-4ad5-8e4e-e3c6b4545272","LATHE-002","HAAS DS30Y","LATHE","Premium","[""turning"",""live_tooling"",""drilling"",""bar_feeding"",""threading"",""boring"",""facing"",""grooving"",""milling""]","Available","0.00","[1,2]","1.30","dual_spindle_group","Bar Fed Lathes","Turret Type","Dual","true","true","false","6"
"35deacf4-917e-4b18-adbd-9a38e1d7383d","ASSEMBLE-001","ASSEMBLE BAY","ASSEMBLE","Tier 1","[""assembly"",""final_assembly""]","Available","0.00","[1]","1.00","assemble_group","Manual Assembly","Bench Assembly","","false","false","false",
"38ed01ea-ff4b-431d-8d72-d64c985f12ef","BLAST-001","BEAD BLAST BAY","BEAD BLAST","Standard","[""finishing"",""surface_treatment""]","Available","0.00","[1]","1.00","blast_group","Blast Finishing","Bead Blast","","false","false","false",
"439a5841-b232-4225-906a-35c504f48af1","WELD-001","WELD BAY","WELD","Tier 1","[""welding"",""fabrication""]","Available","0.00","[1]","1.00","weld_group","TIG Welding","Manual TIG","","false","false","false",
"48a9bf7d-31d3-4943-b864-da5d2a023b1e","OUTSOURCE-01","Outsourced Operations","OUTSOURCE","External","[""plating"",""coating"",""heat_treat"",""finishing""]","Available","0.00","[1,2,3]","1.00",,"Third Party","External Vendor",,"false","false","false",
"53da12c4-97ce-4847-bdfa-210a7af8a423","VMC-007","MORI-SEIKI MV-JUNIOR","MILL","Tier 1","[""vertical_milling"",""drilling"",""face_milling"",""tapping""]","Available","0.00","[1,2]","0.65","vmc_3axis_group","3-Axis Vertical Milling Centers","Standard VMC","","false","false","false",
"64db2b92-7f37-4e30-9537-beb2177da734","VMC-003","YAMA-SEIKI BM-1200","MILL","Standard","[""vertical_milling"",""drilling"",""tapping"",""contouring"",""face_milling""]","Available","0.00","[1,2]","1.05","vmc_3axis_group","3-Axis Vertical Milling Centers","Standard VMC","","false","false","false",
"6b3b7fb1-16b8-41d6-9e9f-8d3aac94ffaa","LATHE-007","MORI-SEIKI SL-25 (Blue)","LATHE","Standard","[""turning"",""drilling"",""tapping"",""threading"",""boring"",""facing"",""grooving""]","Available","0.00","[1,2]","0.90","single_spindle_lathe_group","Chuck Lathes","Standard Chuck","Single","false","false","false",
"72b20d15-d79a-4cc7-8504-caba1c789ad7","VMC-001","HAAS VF-4SS","MILL","Premium","[""vertical_milling"",""drilling"",""tapping"",""face_milling"",""contouring""]","Available","0.00","[1,2]","1.10","vmc_3axis_group","3-Axis Vertical Milling Centers","High-Speed VMC","","false","false","false",
"84f0f532-7e6a-4c33-b841-79b0401de3ab","DEBURR-001","DEBURR STATION","BEAD BLAST","Standard","[""cleaning"",""finishing"",""deburring""]","Available","0.00","[1,2]","1.00","","Deburr","Manual Deburr","","false","false","false",
"8c73c0b5-a900-4686-b3c5-1b6c4a35649d","LATHE-006","MORI-SEIKI SL-25 (Gray)","LATHE","Tier 1","[""turning"",""drilling"",""tapping"",""threading"",""boring"",""facing"",""grooving""]","Available","0.00","[1,2]","0.80","single_spindle_lathe_group","Chuck Lathes","Standard Chuck","Single","false","false","false",
"8e44658d-0113-483d-8538-2c62f5057214","LATHE-001","MORI-SEIKI SL-204","LATHE","Premium","[""turning"",""live_tooling"",""drilling"",""bar_feeding"",""facing"",""threading"",""boring"",""milling"",""grooving""]","Available","0.00","[1]","1.15","bar_fed_lathe_group","Bar Fed Lathes","Turret Type","Single","true","true","false","12"
"9e26c10f-76dc-417f-a62e-1fe77d725e2a","LATHE-004","HAAS ST30Y","LATHE","Standard","[""turning"",""live_tooling"",""drilling"",""threading"",""boring"",""facing"",""grooving"",""milling""]","Available","0.00","[1,2]","1.10","live_tooling_group","Live Tooling Lathes","Y-Axis Capable","Single","true","false","false",
"b31eb9b7-a311-4b60-8e6f-e0e4124da4ca","VMC-004","VESTA 1050B","MILL","Premium","[""vertical_milling"",""drilling"",""tapping"",""4th_axis"",""contouring"",""horizontal_milling"",""face_milling""]","Available","0.00","[1,2]","1.15","vmc_4axis_group","3-Axis VMCs with pseudo 4th axis","Trunion VMC","","false","false","true",
"bf67c69f-38fc-44e5-a80d-0dbbc84ec06b","BENDING-001","BENDING STATION","WELD","Standard","[""bending""]","Available","0.00","[1]","0.80","","Bending","Press Brake","","false","false","false",
"c24aa77b-543e-44de-a1a9-2ac417dee909","HMC-001","MAZAK HCN5000 NEO","MILL","Premium","[""horizontal_milling"",""drilling"",""tapping"",""boring"",""vertical_milling"",""face_milling"",""contouring""]","Available","0.00","[1]","1.20","hmc_group","Horizontal Milling Centers","Flexible HMC","","false","false","true",
"c29f0086-38d9-4f1d-bfd1-f73b52e7cd3b","INSPECT-001","INSPECT BAY","INSPECT","Tier 1","[""inspection"",""quality_control"",""measurement"",""certification""]","Available","0.00","[1]","1.00","inspect_group","CMM Inspection","Contact CMM","","false","false","false",
"c3eabb8c-fa88-4962-b168-544397ae1fc1","LATHE-003","FEMCO HL-25","LATHE","Tier 1","[""turning"",""bar_feeding"",""threading"",""grooving"",""facing"",""boring""]","Available","0.00","[1,2]","1.00","bar_fed_lathe_group","Bar Fed Lathes","Turret Type","Single","false","true","false","6"
"cc1c775d-b9c2-4406-b754-87211618c475","SAW-002","HYD-MECH","SAW","Standard","[""cutting"",""material_prep"",""sawing"",""stock_cutting""]","Available","0.00","[1]","1.00","saw_group","Band Saws","Horizontal Band","","false","false","false",
"d4c89195-de8f-48b8-99e7-fdcb756925cd","WJ-001","FLOW MACH 500","WATERJET","Standard","[""waterjet_cutting"",""precise_cutting"",""thick_material"",""complex_shapes""]","Available","0.00","[1]","1.00","waterjet_group","Abrasive Waterjet","High Pressure","","false","false","false",
"da0a6f95-f7bc-43e4-b35a-85c639b16424","POLISH-001","POLISHING STATION","BEAD BLAST","Standard","[""finishing"",""surface_treatment"",""surface_prep"",""cleaning"",""deburring"",""polishing""]","Available","0.00","[1]","1.00","blast_group","Deburr","Manual Deburr","","false","false","false",
"ddcddc94-dbf4-4476-a80d-8e4232e1008b","REAM-001","BROACH","WELD","Budget","[""finishing"",""surface_treatment"",""broaching""]","Available","0.00","[1,2]","0.90","vmc_3axis_group","Broaching","Vertical Broaching","","false","false","false",
"ddd61797-5e01-4967-9eb2-20ea6753bb44","TUMBLE-001","VIBRATORY FINISHER","BEAD BLAST","Standard","[""finishing"",""surface_treatment"",""deburring"",""polishing"",""tumbling""]","Available","0.00","[1]","1.00","blast_group","Tumble","Vibratory Tumble","","false","false","false",
